audit_id,generated_at_utc,doc_id,isin,name,severity,flag_type,category,description,evidence,financial_impact,recommendation,classification_asset_type,classification_asset_subtype,derived_asset_class,exposure_source,effective_equity_pct,effective_fixed_income_pct,effective_cash_pct,effective_other_pct,effective_sum_pct
BDB-SEM-0,2026-05-07T04:20:21.037545+00:00,BE0946564383,BE0946564383,DPAM B - Equities NewGems Sustainable B Cap,HIGH,ASSET_MIX_SCALE_0_1_SUSPECTED,portfolio_exposure_v2.asset_mix,Asset mix appears stored in 0-1 scale while downstream/reporting may expect 0-100 percentages.,"raw_sum=1; raw_components={""cash"": 0.002, ""equity"": 0.998, ""fixed_income"": 0.0, ""other"": 0.0}; normalized_sum=100",A 100x scale misunderstanding can materially distort optimizer exposure limits or reports.,Confirm canonical consumer scale before any normalization package.,equity,THEMATIC_EQUITY,RV,asset_mix,99.8,0.0,0.2,0.0,100.0
BDB-SEM-0,2026-05-07T04:20:21.037545+00:00,BE0947853660,BE0947853660,DPAM B - Equities US Dividend Sustainable B EUR Cap,HIGH,ASSET_MIX_SCALE_0_1_SUSPECTED,portfolio_exposure_v2.asset_mix,Asset mix appears stored in 0-1 scale while downstream/reporting may expect 0-100 percentages.,"raw_sum=1; raw_components={""cash"": 0.0141, ""equity"": 0.9859, ""fixed_income"": 0.0, ""other"": 0.0}; normalized_sum=100",A 100x scale misunderstanding can materially distort optimizer exposure limits or reports.,Confirm canonical consumer scale before any normalization package.,equity,THEMATIC_EQUITY,RV,asset_mix,98.59,0.0,1.41,0.0,100.0
BDB-SEM-0,2026-05-07T04:20:21.037545+00:00,DE0008490962,DE0008490962,DWS Deutschland LC,HIGH,ASSET_MIX_SCALE_0_1_SUSPECTED,portfolio_exposure_v2.asset_mix,Asset mix appears stored in 0-1 scale while downstream/reporting may expect 0-100 percentages.,"raw_sum=1; raw_components={""cash"": 0.0363, ""equity"": 0.9637, ""fixed_income"": 0.0, ""other"": 0.0}; normalized_sum=100",A 100x scale misunderstanding can materially distort optimizer exposure limits or reports.,Confirm canonical consumer scale before any normalization package.,equity,GLOBAL_EQUITY,RV,asset_mix,96.37,0.0,3.63,0.0,100.0
BDB-SEM-0,2026-05-07T04:20:21.037545+00:00,ES0112231016,ES0112231016,Avantage Fund B FI,HIGH,ASSET_MIX_SCALE_0_1_SUSPECTED,portfolio_exposure_v2.asset_mix,Asset mix appears stored in 0-1 scale while downstream/reporting may expect 0-100 percentages.,"raw_sum=1; raw_components={""cash"": 0.0261, ""equity"": 0.7453, ""fixed_income"": 0.2286, ""other"": 0.0}; normalized_sum=100",A 100x scale misunderstanding can materially distort optimizer exposure limits or reports.,Confirm canonical consumer scale before any normalization package.,allocation,FLEXIBLE_ALLOCATION,Mixto,asset_mix,74.53,22.86,2.61,0.0,100.0
BDB-SEM-0,2026-05-07T04:20:21.037545+00:00,ES0112602000,ES0112602000,Azvalor Managers FI,HIGH,ASSET_MIX_SCALE_0_1_SUSPECTED,portfolio_exposure_v2.asset_mix,Asset mix appears stored in 0-1 scale while downstream/reporting may expect 0-100 percentages.,"raw_sum=0.9999; raw_components={""cash"": 0.1382, ""equity"": 0.8533, ""fixed_income"": 0.0, ""other"": 0.0084}; normalized_sum=99.99",A 100x scale misunderstanding can materially distort optimizer exposure limits or reports.,Confirm canonical consumer scale before any normalization package.,equity,GLOBAL_EQUITY,RV,asset_mix,85.33,0.0,13.82,0.84,99.99
BDB-SEM-0,2026-05-07T04:20:21.037545+00:00,ES0114633003,ES0114633003,Panda Agriculture & Water Fund FI,HIGH,ASSET_MIX_SCALE_0_1_SUSPECTED,portfolio_exposure_v2.asset_mix,Asset mix appears stored in 0-1 scale while downstream/reporting may expect 0-100 percentages.,"raw_sum=1; raw_components={""cash"": 0.0805, ""equity"": 0.9195, ""fixed_income"": 0.0, ""other"": 0.0}; normalized_sum=100",A 100x scale misunderstanding can materially distort optimizer exposure limits or reports.,Confirm canonical consumer scale before any normalization package.,equity,THEMATIC_EQUITY,RV,asset_mix,91.95,0.0,8.05,0.0,100.0
BDB-SEM-0,2026-05-07T04:20:21.037545+00:00,ES0116419005,ES0116419005,Cartera Renta Fija Horizonte 2026 FI,HIGH,ASSET_MIX_SCALE_0_1_SUSPECTED,portfolio_exposure_v2.asset_mix,Asset mix appears stored in 0-1 scale while downstream/reporting may expect 0-100 percentages.,"raw_sum=1; raw_components={""cash"": 0.2407, ""equity"": 0.0, ""fixed_income"": 0.7391, ""other"": 0.0202}; normalized_sum=100",A 100x scale misunderstanding can materially distort optimizer exposure limits or reports.,Confirm canonical consumer scale before any normalization package.,fixed_income,CORPORATE_BOND,RF,asset_mix,0.0,73.91,24.07,2.02,100.0
BDB-SEM-0,2026-05-07T04:20:21.037545+00:00,ES0124880032,ES0124880032,UBS Renta Fija 0-5 B FI,HIGH,ASSET_MIX_SCALE_0_1_SUSPECTED,portfolio_exposure_v2.asset_mix,Asset mix appears stored in 0-1 scale while downstream/reporting may expect 0-100 percentages.,"raw_sum=1; raw_components={""cash"": 0.0, ""equity"": 0.0, ""fixed_income"": 0.989315, ""other"": 0.010685}; normalized_sum=100",A 100x scale misunderstanding can materially distort optimizer exposure limits or reports.,Confirm canonical consumer scale before any normalization package.,fixed_income,CORPORATE_BOND,RF,asset_mix,0.0,98.9315,0.0,1.0685,100.0
BDB-SEM-0,2026-05-07T04:20:21.037545+00:00,ES0125240038,ES0125240038,Trea Renta Fija Ahorro S FI,HIGH,ASSET_MIX_SCALE_0_1_SUSPECTED,portfolio_exposure_v2.asset_mix,Asset mix appears stored in 0-1 scale while downstream/reporting may expect 0-100 percentages.,"raw_sum=1; raw_components={""cash"": 0.0839, ""equity"": 0.0, ""fixed_income"": 0.9103, ""other"": 0.0058}; normalized_sum=100",A 100x scale misunderstanding can materially distort optimizer exposure limits or reports.,Confirm canonical consumer scale before any normalization package.,fixed_income,CORPORATE_BOND,RF,asset_mix,0.0,91.03,8.39,0.58,100.0
BDB-SEM-0,2026-05-07T04:20:21.037545+00:00,ES0125323008,ES0125323008,Gestión Value A FI,HIGH,ASSET_MIX_SCALE_0_1_SUSPECTED,portfolio_exposure_v2.asset_mix,Asset mix appears stored in 0-1 scale while downstream/reporting may expect 0-100 percentages.,"raw_sum=1; raw_components={""cash"": 0.0582, ""equity"": 0.5765, ""fixed_income"": 0.0, ""other"": 0.3653}; normalized_sum=100",A 100x scale misunderstanding can materially distort optimizer exposure limits or reports.,Confirm canonical consumer scale before any normalization package.,equity,GLOBAL_EQUITY,RV,asset_mix,57.65,0.0,5.82,36.53,100.0
